dog_id,breed,sex,date_birth,range_birth,sterilized,sterilization_year
Noname-m-c-20262,1,2,,,,
900008800314434,1,1,,,,
900088000517858,1,1,,,,
bull-m-c-30116,,2,2001-02-12,365.25,,
900008800178742,,1,2001-07-07,730.50,,
900008800176724,,1,2003-01-09,365.25,,
900008800517798,,2,2003-05-01,365.25,,
900008800178313,,1,2003-07-14,1461.00,,
snoppy-m-e-30104,1,2,2003-08-01,0.00,,
mthandafini-m-c-738,1,2,2003-12-12,0.00,,
900008800178277,,1,2004-01-06,365.25,,
900008800178261,,1,2004-01-06,365.25,,
900008800522518,,2,2004-04-30,365.25,,
900008800503201,,2,2004-04-30,365.25,,
noname-f-c-1140,1,1,2004-06-13,0.00,,
900008800166071,,2,2005-01-05,365.25,,
900008800182861,,2,2005-02-14,1095.75,2014/07/01,366
900008800522364,,2,2005-02-14,365.25,2013/07/01,366
swavi-f-e-20031,1,1,2005-07-11,0.00,,
2-1463-m-1,1,2,2005-07-20,365.25,,
900008800504364,,2,2005-08-16,730.50,,
900008800315069,1,2,2005-08-21,2556.75,,
900008800166230,,2,2006-01-03,365.25,,
900008800178678,,2,2006-01-04,365.25,,
900008800166769,,2,2006-01-06,365.25,,
900008800178492,,1,2006-01-06,365.25,,
900008800177215,,2,2006-01-09,365.25,,
900008800177923,,1,2006-01-10,365.25,,
900008800166260,,2,2006-01-10,365.25,,
900008800177461,,1,2006-01-10,365.25,,
900008800166263,,1,2006-01-11,365.25,,
900008800166286,,2,2006-01-11,365.25,,
900008800185334,,2,2006-01-12,365.25,,
900008800166672,,2,2006-01-13,365.25,,
900008800166775,,2,2006-01-13,365.25,,
jacily-m-e-40155,1,2,2006-01-14,365.25,,
tshama-m-e-50148,1,2,2006-01-28,365.25,2014/07/01,366
900008800520581,,1,2006-02-16,365.25,,
900008800166585,,1,2006-07-05,730.50,,
bobby-c-60160,,2,2006-07-05,0.00,,
noname4-m-c-60135,,2,2006-07-05,730.50,2014/07/01,366
900008800166423,,2,2006-07-06,1461.00,,
900008800166768,,1,2006-07-06,0.00,,
900008800177245,,1,2006-07-10,730.50,,
900008800175741,,1,2006-07-11,730.50,,
900008800169256,,2,2006-07-14,0.00,,
900008800185961,1,2,2006-07-17,365.25,,
bobby-m-c-60160,1,2,2006-08-02,730.50,,
900008800184932,1,2,2006-08-02,365.25,,
900008800514440,,1,2006-08-14,730.50,,
900008800166341,,2,2006-08-14,0.00,,
900008800306670,1,2,2006-12-06,365.25,2012/07/01,366
xikwembu-m-c-40264,1,2,2006-12-07,0.00,2014/07/01,366
sibi-f-c-20150,1,1,2006-12-09,365.25,,
900008800166382,,2,2007-01-03,365.25,,
bull-r1-c-60204,,2,2007-01-03,365.25,,
900008800166184,,2,2007-01-05,365.25,,
900008800176152,,2,2007-01-05,365.25,,
