dog_id,date_delivery,range_delivery,event_obs,outcome,liveborn,stillborn,female,male,unknown
900008800166326,2012-01-12,0.00,,,2,,,2,
900008800166418,2012-05-16,0.00,,,7,,3,4,
900008800166444,2012-08-16,60.88,,,2,,1,,1
900008800166462,2012-10-20,60.88,,,2,,1,1,
900008800166465,2013-07-27,30.44,2,1,2,0,,,
900008800166544,2012-12-28,30.44,1,1,1,88,,,
900008800166544,2014-10-12,1.00,2,1,3,0,88,88,
900008800166570,2012-06-15,30.44,,,2,,,2,
900008800166576,2012-09-30,6.00,,,5,,4,1,
900008800166585,2012-04-14,7.00,,,2,,1,1,
900008800166599,2012-07-16,213.08,,,1,,1,,
900008800166599,2012-11-26,6.00,,,5,,4,1,
900008800166599,2015-04-22,30.44,,,8,,6,2,
900008800166599,2015-07-07,30.44,,,1,,,1,
900008800166628,2012-09-11,121.76,,,8,,3,5,
900008800166647,2012-08-14,365.25,,,1,,,1,
900008800166647,2013-09-29,91.32,,,1,,,1,
900008800166647,2014-02-09,30.44,,,3,,1,2,
900008800166798,2012-09-23,7.00,,,5,,,5,
900008800166816,2012-03-15,0.00,,,2,,,2,
900008800166898,2011-11-27,0.00,,,1,,,1,
900008800166898,2012-04-05,30.44,,,6,,2,4,
900008800166898,2014-07-30,1.00,2,1,4,88,88,2,
900008800167076,2012-05-19,30.44,,,3,,2,1,
900008800167243,2013-06-29,30.44,1,1,3,88,,,
900008800167420,2013-01-18,30.44,2,1,4,0,,,
900008800167420,2014-09-05,7.00,2,1,2,0,1,1,
900008800168213,2012-04-02,30.44,,,1,,1,,
900008800168310,2012-12-17,30.44,,,11,,6,5,
900008800168657,2011-05-21,0.00,,,1,,,1,
900008800168657,2012-04-08,60.88,,,5,,3,2,
900008800168782,2012-10-14,21.00,,,3,,3,,
900008800166084,2012-04-02,7.00,,,6,,3,3,
900008800166092,2012-07-01,30.44,,,8,,1,7,
900008800166092,2015-01-12,30.44,,,5,,,5,
900008800166092,2015-03-21,30.44,,,5,,,5,
900008800166251,2013-10-27,30.44,,,7,,5,2,
900008800166251,2014-08-28,30.44,2,1,2,0,2,0,
900008800175566,2014-05-23,7.00,2,1,3,0,88,88,
900008800175741,2011-04-13,60.88,,,4,,2,2,
900008800176051,2012-09-23,21.00,,,2,,1,1,
900008800176163,2013-06-29,60.88,2,1,2,0,,,
900008800176174,2012-06-15,30.44,,,7,,4,3,
900008800176560,2012-02-10,0.00,,,5,,2,3,
900008800176560,2012-10-19,7.00,,,6,,5,1,
900008800176636,2011-12-22,365.25,,,1,,,1,
900008800176636,2014-05-29,7.00,2,1,2,0,1,1,
900008800176682,2011-03-23,0.00,,,1,,1,,
900008800176682,2012-03-09,0.00,,,3,,1,2,
900008800176745,2015-06-12,7.00,,,8,,4,4,
900008800176846,2012-04-10,60.88,,,2,,2,,
900008800176846,2013-04-14,91.32,,,4,,1,3,
900008800176877,2013-04-19,182.64,,,10,,6,4,
900008800176877,2013-10-29,30.44,,,5,,4,1,
900008800177052,2014-03-06,30.44,,,3,,2,1,
900008800177301,2014-05-16,7.00,2,1,3,0,88,1,
900008800177301,2015-10-24,6.00,,,3,,,3,
900008800177348,2012-10-20,60.88,,,4,,,4,
900008800177348,2014-04-08,1.00,,,2,,,,2
900008800177443,2012-02-03,30.44,,,4,,3,1,
900008800177443,2013-03-09,365.25,,,4,,4,,
900008800177458,2012-02-24,0.00,,,5,,3,2,
900008800177458,2013-04-12,30.44,,,8,,6,2,
900008800177461,2011-04-12,60.88,,,1,,,1,
900008800177511,2012-05-13,121.76,,,4,,,4,
900008800177526,2011-10-27,30.44,2,1,14,0,,,
900008800177544,2012-07-17,14.00,,,3,,1,2,
900008800177551,2013-11-20,91.32,,,1,,,1,
