stand,dog_name,dog_id,entry_event,origin_hluvu,origin_other,origin_person,origin_person_other,purchase_price,exchange_out,date_entry,range_entry,enrol_parity,exit,exit_event,exit_death,exit_death_other,exit_kill,symptoms,exit_hluvu,exit_place_other,exit_person,exit_person_other,selling_price,exchange_in,date_exit,range_exit,origin_stand,exit_stand
C-60020,white,2-1084-m-1,999,,,,,,,2011-07-06,1.00,,1,1,2,,,,,,,,,,2011-12-04,0.00,,
C-30116,nosa,2-1094-m-1,999,,,,,,,2011-08-14,1.00,,1,7,,,,,,,,,,,2011-12-22,0.00,,
E-30019,Bracky,2-1431-m-1,3,,,,,20,,2011-11-30,0.00,,1,1,1,,,,,,,,,,2012-12-11,547.92,,
C-20014,Noname,2-1436-f-1,3,,,,,20,,2009-07-11,365.25,0,1,88,,,,,,,,,,,2012-09-05,547.92,,
C-20014,Noname,2-1436-f-2,3,,,,,20,,2010-07-12,365.25,1,1,1,2,,,,,,,,,,2012-06-05,0.00,,
C-20014,Noname,2-1436-f-3,5,,,,,,,2011-01-10,0.00,0,1,1,7,,,,,,,,,,2013-03-21,30.44,,
E-30077,Bobby,2-1442-f-1,3,,,,,10,,2011-01-10,0.00,0,0,,,,,,,,,,,,,,,
E-30077,Noname,2-1442-m-1,5,,,,,,,2011-12-14,28.00,,1,1,1,,,,,,,,,,2013-08-19,30.44,,
E-30191,Blacky,2-1450-f-1,5,,,,,,,2011-11-12,0.00,0,1,1,1,,,,,,,,,,2012-01-16,30.44,,
E-30191,Snoppy,2-1450-f-2,5,,,,,,,2011-10-27,30.44,0,1,1,1,,,,,,,,,,2012-01-16,30.44,,
E-30190,noname,2-1451-f-10,1,,,,,,,2011-10-27,30.44,0,1,1,1,,,,,,,,,,2011-12-12,0.00,,
E-30190,Noname-2,2-1451-f-2,1,,,,,,,2011-10-27,30.44,0,1,1,1,,,,,,,,,,2011-12-12,0.00,,
E-30190,noname,2-1451-f-3,1,,,,,,,2011-10-27,30.44,0,1,7,,,,,,,,,,,2011-12-12,0.00,,
E-30190,Noname,2-1451-f-4,1,,,,,,,2011-10-27,30.44,0,1,7,,,,,,,,,,,2011-12-12,0.00,,
E-30190,noname,2-1451-f-5,1,,,,,,,2011-10-27,30.44,0,1,1,1,,,,,,,,,,2011-12-12,0.00,,
E-30190,noname,2-1451-f-6,1,,,,,,,2011-10-27,30.44,0,1,1,1,,,,,,,,,,2011-12-12,0.00,,
E-30190,noname,2-1451-f-7,1,,,,,,,2011-10-27,30.44,0,1,1,1,,,,,,,,,,2011-12-12,0.00,,
E-30190,noname,2-1451-f-8,1,,,,,,,2011-10-27,30.44,0,1,1,1,,,,,,,,,,2011-12-12,0.00,,
E-30190,noname,2-1451-f-9,1,,,,,,,2011-10-27,30.44,0,1,1,1,,,,,,,,,,2011-12-12,0.00,,
E-30190,noname,2-1451-m-1,1,,,,,,,2011-10-27,30.44,,1,1,1,,,,,,,,,,2011-12-12,0.00,,
E-30190,noname,2-1451-m-2,1,,,,,,,2011-10-27,30.44,,1,1,1,,,,,,,,,,2011-12-12,0.00,,
E-30190,noname,2-1451-m-3,1,,,,,,,2011-10-27,30.44,,1,1,1,,,,,,,,,,2011-12-12,0.00,,
E-30190,noname,2-1451-m-4,1,,,,,,,2011-10-27,30.44,,1,1,1,,,,,,,,,,2011-12-12,0.00,,
E-30181,Mabeveza,2-1460-f-1,5,,,,,,,2007-07-17,365.25,0,1,1,1,,,Scratching,,,,,,,2015-09-27,182.64,,
E-30181,Ximakwa,2-1460-m-1,5,,,,,,,2007-07-17,365.25,,1,1,88,,,,,,,,,,2015-09-27,182.64,,
