stand,date_1,nb_cats_1,date_2,date_3,date_4,nb_people_4,date_5,nb_people_5,time_property_5,nb_cats_5,date_6,nb_people_6,newhouse_6,date_7,nb_people_7,moving_7,date_8,nb_people_8,moving_8,ndohh_8,dohh_enough_8,dohh_toomany_8,date_9,nb_people_9,moving_9,ndohh_9,dohh_enough_9,dohh_toomany_9,dohh_number_9,date_10,nb_people_10,moving_10,ndohh_10,dohh_enough_10,dohh_toomany_10,dohh_number_10,date_11,nb_people_11,ndohh_11,dohh_enough_11,dohh_toomany_11,dohh_number_11,date_12,inhabited_12,stand_household_12,time_property_12,new_house_12,ndohh_12,dohh_toomany_12,dohh_enough_12
C-1216A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/11/09,1,1,4,,0,,
C-1217A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016/11/09,1,1,4,,0,,
C-1336,08/18/2011,0,12/23/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-1449,,,02/01/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-20005,,,,,,,06/06/2013,2,4,0,02/05/2014,2,0,05/23/2014,2,1,10/03/2014,2,1,88,,,05/12/2015,2,1,1,,,1,11/17/2015,2,1,88,,,,11-Apr-16,2,88,,,,2016/11/16,1,1,4,,0,,
C-20006,08/18/2011,0,,12/18/2012,4,07/24/2012,10/01/2013,88,88,0,02/05/2014,4,0,05/23/2014,4,1,10/03/2014,4,1,1,,,05/12/2015,4,1,1,,,1,11/17/2015,6,1,1,,,1,11-Apr-16,6,1,,,1,2016/11/16,1,1,4,,88,,
C-20007,08/18/2011,0,01/10/2012,12/18/2012,1,07/24/2012,06/06/2013,1,4,0,02/05/2014,1,0,05/23/2014,1,1,10/03/2014,1,1,1,,,05/12/2015,1,1,1,,,1,11/17/2015,1,1,1,,,1,11-Apr-16,1,1,,,,2016/11/16,1,1,4,,88,,
C-20008,08/18/2011,0,,,,07/24/2012,08/12/2013,7,4,0,02/05/2014,9,0,06/19/2014,8,1,10/03/2014,9,1,,1,,,,,,,,,11/17/2015,8,1,,88,,,11-Apr-16,8,,88,,,2016/11/16,1,1,4,,,88,0
C-20009,,,01/10/2012,12/19/2012,11,,08/01/2013,12,88,0,02/05/2014,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-20010,08/18/2011,0,01/31/2012,,,07/24/2012,,,,,05/07/2014,88,0,06/19/2014,12,1,10/03/2014,9,1,,0,,,,,,,,,11/17/2015,13,1,,88,,,11-Apr-16,13,,88,,,2016/11/16,1,1,4,,,,1
