"","X.2","X.1","X","budget","timing","puppy_vac","female_ster","contact_cost_scale","bite_scale","dog_days","prob_outbreak","max_prev","max_vacc","total_cost"
"1",1,1,1,5000,"annual",0,0,0.5,1,33.42,22,3.11,28,43425
"2",2,2,2,20000,"annual",0,0,0.5,1,5.58,8,2.29,63,58188
"3",3,3,3,40000,"annual",0,0,0.5,1,2.32,2,2.07,88,78154
"4",4,4,4,5000,"annual",1,0,0.5,1,36.88,22,3.27,30,43502
"5",5,5,5,20000,"annual",1,0,0.5,1,4.84,6,2.2,69,58201
"6",6,6,6,40000,"annual",1,0,0.5,1,2.02,2,2.13,95,78199
"7",7,7,7,5000,"annual",0,0,1.5,1,110.07,27,4.48,17,44223
"8",8,8,8,20000,"annual",0,0,1.5,1,16.3,16,2.71,39,58337
"9",9,9,9,40000,"annual",0,0,1.5,1,8.12,11,2.43,55,78220
"10",10,10,10,5000,"annual",1,0,1.5,1,105.5,28,4.33,19,44140
"11",11,11,11,20000,"annual",1,0,1.5,1,16.23,16,2.73,41,58371
"12",12,12,12,40000,"annual",1,0,1.5,1,7.21,10,2.32,59,78243
"13",13,13,13,5000,"biennial",0,0,0.5,1,34.19,25,3.1,37,43472
"14",14,14,14,20000,"biennial",0,0,0.5,1,9.21,13,2.47,79,58236
"15",15,15,15,40000,"biennial",0,0,0.5,1,6.27,9,2.3,93,78225
"16",16,16,16,5000,"biennial",1,0,0.5,1,29.73,24,3.03,39,43406
"17",17,17,17,20000,"biennial",1,0,0.5,1,8.04,11,2.39,85,58277
"18",18,18,18,40000,"biennial",1,0,0.5,1,5.88,8,2.31,100,78238
"19",19,19,19,5000,"biennial",0,0,1.5,1,105.84,30,4.28,22,44101
"20",20,20,20,20000,"biennial",0,0,1.5,1,19.89,20,2.82,49,58320
"21",21,21,21,40000,"biennial",0,0,1.5,1,10.44,14,2.51,70,78238
"22",22,22,22,5000,"biennial",1,0,1.5,1,98.06,30,4.18,24,44109
"23",23,23,23,20000,"biennial",1,0,1.5,1,18.27,19,2.79,52,58326
"24",24,24,24,40000,"biennial",1,0,1.5,1,9.24,13,2.4,75,78221
"25",25,25,25,5000,"annual",0,0,0.5,1,37.03,22,3.24,28,43485
"26",26,26,26,20000,"annual",0,0,0.5,1,5.9,8,2.29,63,58212
"27",27,27,27,40000,"annual",0,0,0.5,1,2.44,3,2.14,88,78175
"28",28,28,28,5000,"annual",0,1,0.5,1,353.59,34,7.66,7,46256
"29",29,29,29,20000,"annual",0,1,0.5,1,136.77,29,4.96,18,58121
"30",30,30,30,40000,"annual",0,1,0.5,1,40.5,24,3.36,34,76031
"31",31,31,31,5000,"annual",0,0,1.5,1,110.28,28,4.51,17,44237
"32",32,32,32,20000,"annual",0,0,1.5,1,18.74,17,2.77,39,58330
"33",33,33,33,40000,"annual",0,0,1.5,1,7.95,11,2.38,55,78287
"34",34,34,34,5000,"annual",0,1,1.5,1,395.43,35,8.11,6,46777
"35",35,35,35,20000,"annual",0,1,1.5,1,167.5,30,5.33,17,58601
"36",36,36,36,40000,"annual",0,1,1.5,1,49.68,24,3.61,29,76348
