"","daySeries","meanAbun","meanInf","meanVac"
"1",1,404,0,0
"2",2,403.6618,0,0
"3",3,403.3216,0,0
"4",4,403.0376,0,0
"5",5,402.7364,0,0
"6",6,402.4294,0,0
"7",7,402.121,0,0
"8",8,401.8328,0,0
"9",9,401.5464,0,0
"10",10,401.2646,0,0
"11",11,400.9922,0,0
"12",12,400.7072,0,0
"13",13,400.4612,0,0
"14",14,400.243,0,0
"15",15,400.0256,0,0
"16",16,399.7882,0,0
"17",17,399.5252,0,0
"18",18,399.3046,0,0
"19",19,399.107,0,0
"20",20,398.9292,0,0
"21",21,398.744,0,0
"22",22,398.5904,0,0
"23",23,398.404,0,0
"24",24,398.239,0,0
"25",25,398.0396,0,0
"26",26,397.8304,0,0
"27",27,397.6584,0,0
"28",28,397.483,0,0
"29",29,397.311,0,0
"30",30,397.1496,0,0
"31",31,396.9688,0,0
"32",32,396.777,0,0
"33",33,396.6044,0,0
"34",34,396.447,0,0
"35",35,396.3244,0,0
"36",36,396.1982,0,0
"37",37,396.0766,0,0
"38",38,395.9774,0,0
"39",39,395.8904,0,0
"40",40,395.7854,0,0
"41",41,395.6992,0,0
"42",42,395.6112,0,0
"43",43,395.5372,0,0
"44",44,395.4972,0,0
"45",45,395.4286,0,0
"46",46,395.3638,0,0
"47",47,395.2742,0,0
"48",48,395.1854,0,0
"49",49,395.1472,0,0
"50",50,395.1162,0,0
"51",51,395.101,0,0
"52",52,395.0574,0,0
"53",53,394.9882,0,0
"54",54,394.9526,0,0
"55",55,394.934,0,0
"56",56,394.9112,0,0
"57",57,394.8786,0,0
"58",58,394.844,0,0
"59",59,394.8072,0,0
"60",60,394.7568,0,0
"61",61,394.7254,0,0
"62",62,394.6874,0,0
"63",63,394.694,0,0
"64",64,394.6782,0,0
"65",65,394.706,0,0
"66",66,394.6984,0,0
"67",67,394.736,0,0
"68",68,394.7198,0,0
"69",69,394.7148,0,0
"70",70,394.7978,0,0
"71",71,394.7948,0,0
"72",72,394.8212,0,0
"73",73,394.8664,0,0
"74",74,394.8636,0,0
"75",75,394.903,0,0
"76",76,394.9388,0,0
"77",77,394.9386,0,0
"78",78,394.9874,0,0
"79",79,395.0186,0,0
"80",80,395.0798,0,0
"81",81,395.1484,0,0
"82",82,395.1848,0,0
"83",83,395.2474,0,0
"84",84,395.2988,0,0
"85",85,395.3502,0,0
"86",86,395.4174,0,0
"87",87,395.5296,0,0
"88",88,395.6064,0,0
"89",89,395.6638,0,0
"90",90,395.7488,0,0
"91",91,395.8206,0,0
"92",92,395.8772,0,18
"93",93,395.9606,0,35.967
"94",94,396.0576,0,53.9022
"95",95,396.1672,0,71.804
"96",96,396.2668,0,89.3198
"97",97,396.3796,0,102.5198
"98",98,396.4904,0,111.0212
"99",99,396.598,0,119.0066
"100",100,396.703,0,126.9662
"101",101,396.8116,0,134.907
"102",102,396.9078,0,142.8298
"103",103,397.0158,0,150.7518
"104",104,397.1404,0,158.6516
"105",105,397.2682,0,166.5322
"106",106,397.3636,0,174.3712
"107",107,397.4524,0,182.1652
"108",108,397.5374,0,189.7276
"109",109,397.6804,0,196.6588
"110",110,397.7802,0,202.6644
"111",111,397.8574,0,207.9078
"112",112,397.9876,0,212.8458
"113",113,398.089,0,217.679
"114",114,398.2,0,222.4974
"115",115,398.292,0,227.2974
"116",116,398.4302,0,232.1184
"117",117,398.52,0,236.9048
"118",118,398.664,0,241.6934
"119",119,398.807,0,246.4832
"120",120,398.909,0,247.0376
"121",121,399.0752,0,246.5934
"122",122,399.2304,0,246.1336
"123",123,399.3526,0,245.6734
"124",124,399.4708,0,245.2086
"125",125,399.5538,0,244.7204
"126",126,399.6852,0,244.2704
"127",127,399.773,0,243.82
"128",128,399.8844,0,243.3506
"129",129,399.9758,0,242.8946
"130",130,400.1266,0,242.4442
"131",131,400.2362,0,242.007
"132",132,400.3704,0,241.5608
"133",133,400.5252,0,241.1098
"134",134,400.6288,0,240.6568
"135",135,400.7954,0,240.2204
"136",136,400.9438,0,239.7814
"137",137,401.0666,0,239.3402
"138",138,401.2426,0,238.8936
"139",139,401.3546,0,238.4716
"140",140,401.4784,0,238.042
"141",141,401.605,0,237.5956
"142",142,401.7362,0,237.1644
"143",143,401.9144,0,236.7436
"144",144,402.0204,0,236.319
"145",145,402.1864,0,235.8988
"146",146,402.3162,0,235.4824
"147",147,402.471,0,235.0652
"148",148,402.5958,0,234.6404
"149",149,402.722,0,234.218
