"","daySeries","meanAbun","meanInf","meanVac"
"1",1,404,0,0
"2",2,403.572,0,0
"3",3,403.348,0,0
"4",4,403.204,0,0
"5",5,402.906,0,0
"6",6,402.72,0,0
"7",7,402.444,0,0
"8",8,402.252,0,0
"9",9,401.914,0,0
"10",10,401.782,0,0
"11",11,401.56,0,0
"12",12,401.2,0,0
"13",13,401.12,0,0
"14",14,400.896,0,0
"15",15,400.684,0,0
"16",16,400.5,0,0
"17",17,400.354,0,0
"18",18,400.21,0,0
"19",19,399.936,0,0
"20",20,399.728,0,0
"21",21,399.63,0,0
"22",22,399.38,0,0
"23",23,399.212,0,0
"24",24,399.06,0,0
"25",25,398.904,0,0
"26",26,398.858,0,0
"27",27,398.666,0,0
"28",28,398.43,0,0
"29",29,398.208,0,0
"30",30,398.104,0,0
"31",31,398.014,0,0
"32",32,397.916,0,0
"33",33,397.954,0,0
"34",34,397.724,0,0
"35",35,397.598,0,0
"36",36,397.472,0,0
"37",37,397.488,0,0
"38",38,397.256,0,0
"39",39,397.078,0,0
"40",40,396.942,0,0
"41",41,396.844,0,0
"42",42,396.71,0,0
"43",43,396.654,0,0
"44",44,396.568,0,0
"45",45,396.5,0,0
"46",46,396.42,0,0
"47",47,396.304,0,0
"48",48,396.216,0,0
"49",49,396.23,0,0
"50",50,396.194,0,0
"51",51,396.112,0,0
"52",52,396.056,0,0
"53",53,396.088,0,0
"54",54,396.034,0,0
"55",55,396.036,0,0
"56",56,396.014,0,0
"57",57,395.962,0,0
"58",58,395.874,0,0
"59",59,395.818,0,0
"60",60,395.714,0,0
"61",61,395.776,0,0
"62",62,395.73,0,0
"63",63,395.71,0,0
"64",64,395.87,0,0
"65",65,395.816,0,0
"66",66,395.732,0,0
"67",67,395.74,0,0
"68",68,395.846,0,0
"69",69,395.902,0,0
"70",70,395.796,0,0
"71",71,395.86,0,0
"72",72,395.854,0,0
"73",73,395.918,0,0
"74",74,396.01,0,0
"75",75,395.996,0,0
"76",76,395.94,0,0
"77",77,395.998,0,0
"78",78,396.018,0,0
"79",79,396.096,0,0
"80",80,396.136,0,0
"81",81,396.24,0,0
"82",82,396.394,0,0
"83",83,396.442,0,0
"84",84,396.368,0,0
"85",85,396.382,0,0
"86",86,396.456,0,0
"87",87,396.522,0,0
"88",88,396.666,0,0
"89",89,396.866,0,0
"90",90,396.93,0,0
"91",91,396.908,0,0
"92",92,397.044,0,0
"93",93,397.14,0,0
"94",94,397.208,0,0
"95",95,397.392,0,0
"96",96,397.38,0,0
"97",97,397.438,0,0
"98",98,397.598,0,0
"99",99,397.746,0,0
"100",100,397.826,0,0
"101",101,397.96,0,0
"102",102,398.024,0,0
"103",103,398.13,0,0
"104",104,398.236,0,0
"105",105,398.342,0,0
"106",106,398.496,0,0
"107",107,398.596,0,0
"108",108,398.622,0,0
"109",109,398.724,0,0
"110",110,398.836,0,0
"111",111,398.826,0,0
"112",112,398.968,0,0
"113",113,399.092,0,0
"114",114,399.184,0,0
"115",115,399.334,0,0
"116",116,399.36,0,0
"117",117,399.484,0,0
"118",118,399.57,0,0
"119",119,399.732,0,0
"120",120,399.764,0,0
"121",121,399.85,0,0
"122",122,400.052,0,0
"123",123,400.26,0,0
"124",124,400.384,0,0
"125",125,400.538,0,0
"126",126,400.696,0,0
"127",127,400.866,0,0
"128",128,400.95,0,0
"129",129,400.98,0,0
"130",130,401.16,0,0
"131",131,401.328,0,0
"132",132,401.544,0,0
"133",133,401.61,0,0
"134",134,401.738,0,0
"135",135,401.906,0,0
"136",136,402,0,0
"137",137,402.14,0,0
"138",138,402.414,0,0
"139",139,402.634,0,0
"140",140,402.752,0,0
"141",141,402.966,0,0
"142",142,403.168,0,0
"143",143,403.404,0,0
"144",144,403.594,0,0
"145",145,403.706,0,0
"146",146,403.812,0,0
"147",147,404.018,0,0
"148",148,404.134,0,0
"149",149,404.3,0,0
"150",150,404.462,0,0
"151",151,404.726,0,0
"152",152,405.022,0,0
"153",153,405.23,0,0
"154",154,405.404,0,0
"155",155,405.582,0,0
"156",156,405.822,0,0
"157",157,405.932,0,0
"158",158,406.062,0,0
"159",159,406.154,0,0
"160",160,406.368,0,0
"161",161,406.538,0,0
"162",162,406.648,0,0
"163",163,406.79,0,0
